Course Name,Course Description,Professor Name and Link
CAD,Computing Exploration Seminar,Kara Griffith (https://www.ratemyprofessors.com/search/professors/807?q=Kara%20Griffith)
CAST,The Entrepreneurial Mindset,Anthony Testa (https://www.ratemyprofessors.com/search/professors/807?q=Anthony%20Testa)
CET,Teaching Skills Workshop,Yin Pan (https://www.ratemyprofessors.com/search/professors/807?q=Yin%20Pan)
CHST,Teaching Skills Workshop,Yin Pan (https://www.ratemyprofessors.com/search/professors/807?q=Yin%20Pan)
CIAS,Research Foundations,Pengcheng Shi (https://www.ratemyprofessors.com/search/professors/807?q=Pengcheng%20Shi)
CLA,Quantitative Foundations,Linwei Wang (https://www.ratemyprofessors.com/search/professors/807?q=Linwei%20Wang)
COS,Deep Learning,Rui Li (https://www.ratemyprofessors.com/search/professors/807?q=Rui%20Li)
FNADM,Dissertation and Research,Pengcheng Shi (https://www.ratemyprofessors.com/search/professors/807?q=Pengcheng%20Shi)
GCCIS,Colloquium Comp & Info Science,Pengcheng Shi (https://www.ratemyprofessors.com/search/professors/807?q=Pengcheng%20Shi)
CINT,PHD Research Co-op,Pengcheng Shi (https://www.ratemyprofessors.com/search/professors/807?q=Pengcheng%20Shi)
CINT-101,Continuation of D & R,Pengcheng Shi (https://www.ratemyprofessors.com/search/professors/807?q=Pengcheng%20Shi)
1. CINT-101-01,Independent Study,Pengcheng Shi (https://www.ratemyprofessors.com/search/professors/807?q=Pengcheng%20Shi)
CINT-91,Comp Science For AP Students,Maria Jose Cepeda Garcia (https://www.ratemyprofessors.com/search/professors/807?q=Maria%20Jose%20Cepeda%20Garcia)
1. CINT-91-01,Comp Science For AP Students,Sean Strout (https://www.ratemyprofessors.com/search/professors/807?q=Sean%20Strout)
CISC,Comp Science For AP Students,Jansen Orfan (https://www.ratemyprofessors.com/search/professors/807?q=Jansen%20Orfan)
CISC-807,Comp Science For AP Students,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
1. CISC-807-01,Computer Science I,Anthony Audi (https://www.ratemyprofessors.com/search/professors/807?q=Anthony%20Audi)
2. CISC-807-02,Computer Science I,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
CISC-810,Computer Science I,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
1. CISC-810-01,Computer Science I,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
CISC-820,Computer Science I,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
